companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
First Merchants Corporation,FRME,12/01/2022,12/16/2022,12/02/2022,0.32,1.28,11/08/2022
First National Corporation,FXNC,12/01/2022,12/16/2022,12/02/2022,0.14,0.56,11/16/2022
First Trust Senior Floating Rate Income Fund II,FCT,12/01/2022,12/15/2022,12/02/2022,0.069,0.861,11/21/2022
"Flowers Foods, Inc.",FLO,12/01/2022,12/16/2022,12/02/2022,0.22,0.88,11/18/2022
First Trust Dynamic Europe Equity Income Fund,FDEU,12/01/2022,12/15/2022,12/02/2022,0.06,0.72,11/21/2022
First Trust Energy Infrastructure Fund,FIF,12/01/2022,12/15/2022,12/02/2022,0.064,0.753,11/21/2022
First Trust High Income Long Short Fund,FSD,12/01/2022,12/15/2022,12/02/2022,0.105,1.26,11/21/2022
First Trust MLP and Energy Income Fund,FEI,12/01/2022,12/15/2022,12/02/2022,0.05,0.6,10/20/2022
First Trust,FMY,12/01/2022,12/15/2022,12/02/2022,0.055,0.66,11/21/2022
First Trust New Opportunities MLP & Energy Fund,FPL,12/01/2022,12/15/2022,12/02/2022,0.038,0.45,10/20/2022
First Trust/abrdn Global Opportunity Income Fund,FAM,12/01/2022,12/15/2022,12/02/2022,0.045,0.685,11/21/2022
Arthur J. Gallagher & Co.,AJG,12/01/2022,12/16/2022,12/02/2022,0.51,2.04,10/26/2022
General Motors Company,GM,12/01/2022,12/15/2022,12/02/2022,0.09,0.36,10/24/2022
Genuine Parts Company,GPC,12/01/2022,01/03/2023,12/02/2022,0.895,3.58,11/14/2022
"Houlihan Lokey, Inc.",HLI,12/01/2022,12/15/2022,12/02/2022,0.53,2.12,10/27/2022
"Interface, Inc.",TILE,12/01/2022,12/16/2022,12/02/2022,0.01,0.04,11/15/2022
JPMorgan Nasdaq Equity Premium Income ETF,JEPQ,12/01/2022,12/06/2022,12/02/2022,0.546,3.277,11/30/2022
LCI Industries ,LCII,12/01/2022,12/16/2022,12/02/2022,1.05,4.2,11/17/2022
Linde plc,LIN,12/01/2022,12/16/2022,12/02/2022,1.17,4.68,10/24/2022
Mercantile Bank Corporation,MBWM,12/01/2022,12/14/2022,12/02/2022,0.32,1.28,10/13/2022
Middlefield Banc Corp.,MBCN,12/01/2022,12/15/2022,12/02/2022,0.3,0.8,11/15/2022
"MillerKnoll, Inc.",MLKN,12/01/2022,01/15/2023,12/03/2022,0.188,0.75,10/18/2022
Molson Coors Beverage Company,TAP.A,12/01/2022,12/15/2022,12/02/2022,0.38,1.52,11/10/2022
Molson Coors Beverage Company,TAP,12/01/2022,12/15/2022,12/02/2022,0.38,1.52,11/10/2022
Movado Group Inc.,MOV,12/01/2022,12/16/2022,12/02/2022,0.35,1.4,11/22/2022
"Mueller Industries, Inc.",MLI,12/01/2022,12/16/2022,12/02/2022,0.25,1.0,11/04/2022
"Nasdaq, Inc.",NDAQ,12/01/2022,12/16/2022,12/02/2022,0.2,0.8,10/19/2022
Navient Corporation,NAVI,12/01/2022,12/16/2022,12/02/2022,0.16,0.64,11/16/2022
"NetEase, Inc.",NTES,12/01/2022,12/16/2022,12/02/2022,0.433,1.73,11/17/2022
Open Text Corporation,OTEX,12/01/2022,12/22/2022,12/02/2022,0.487,0.976,11/02/2022
"Orange County Bancorp, Inc.",OBT,12/01/2022,12/15/2022,12/02/2022,0.23,0.92,11/17/2022
Orange,ORAN,12/01/2022,12/22/2022,12/02/2022,0.237,0.474,11/15/2022
OUTFRONT Media Inc.,OUT,12/01/2022,12/30/2022,12/02/2022,0.3,1.2,11/03/2022
"Peoples Bancorp of North Carolina, Inc.",PEBK,12/01/2022,12/15/2022,12/02/2022,0.18,0.72,11/18/2022
"Pepsico, Inc.",PEP,12/01/2022,01/06/2023,12/02/2022,1.15,4.6,11/17/2022
Perrigo Company,PRGO,12/01/2022,12/20/2022,12/02/2022,0.26,1.04,11/03/2022
PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund,BOND,12/01/2022,12/06/2022,12/02/2022,0.28,3.05,01/16/2022
Psychemedics Corporation,PMD,12/01/2022,12/16/2022,12/02/2022,0.07,0.28,11/09/2022
"John B. Sanfilippo & Son, Inc.",JBSS,12/01/2022,12/21/2022,12/02/2022,1.0,0.75,11/03/2022
Sealed Air Corporation,SEE,12/01/2022,12/16/2022,12/02/2022,0.2,0.8,10/18/2022
SLM Corporation,SLM,12/01/2022,12/15/2022,12/02/2022,0.11,0.44,10/25/2022
SPDR MSCI ACWI Climate Paris Aligned ETF,NZAC,12/01/2022,12/05/2022,12/02/2022,0.215,0.473,11/30/2022
SPDR MSCI USA Climate Paris Aligned ETF,NZUS,12/01/2022,12/05/2022,12/02/2022,0.137,0.259,11/30/2022
Suncor Energy  Inc.,SU,12/01/2022,12/23/2022,12/02/2022,0.388,1.551,11/16/2022
Textainer Group Holdings Limited,TGH,12/01/2022,12/15/2022,12/02/2022,0.25,1.0,11/01/2022
Trane Technologies plc,TT,12/01/2022,12/30/2022,12/02/2022,0.67,2.68,10/12/2022
TrustCo Bank Corp NY,TRST,12/01/2022,01/03/2023,12/02/2022,0.36,1.44,11/15/2022
"United Fire Group, Inc",UFCS,12/01/2022,12/16/2022,12/02/2022,0.16,0.64,11/18/2022
US Treasury 10 Year Note ETF,UTEN,12/01/2022,12/05/2022,12/02/2022,0.151,0.481,11/30/2022
US Treasury 12 Month Bill ETF,OBIL,12/01/2022,12/05/2022,12/02/2022,0.09,0.09,11/30/2022
US Treasury 2 Year Note ETF,UTWO,12/01/2022,12/05/2022,12/02/2022,0.167,0.418,11/30/2022
Valvoline Inc.,VVV,12/01/2022,12/15/2022,12/02/2022,0.125,0.5,11/21/2022
VanEck Fallen Angel High Yield Bond ETF,ANGL,12/01/2022,12/07/2022,12/02/2022,0.105,1.259,11/30/2022
Vanguard Emerging Markets Government Bond ETF,VWOB,12/01/2022,12/06/2022,12/02/2022,0.267,3.207,01/07/2022
Vanguard Intermediate-Term Corporate Bond ETF,VCIT,12/01/2022,12/06/2022,12/02/2022,0.217,2.295,01/07/2022
Vanguard Intermediate-Term Treasury ETF,VGIT,12/01/2022,12/06/2022,12/02/2022,0.11,1.327,01/07/2022
Vanguard Long-Term Corporate Bond ETF,VCLT,12/01/2022,12/06/2022,12/02/2022,0.295,3.335,01/07/2022
Vanguard Long-Treasury ETF,VGLT,12/01/2022,12/06/2022,12/02/2022,0.148,1.726,01/07/2022
Vanguard Mortgage-Backed Securities ETF,VMBS,12/01/2022,12/06/2022,12/02/2022,0.108,1.006,01/07/2022
Vanguard Short-Term Corporate Bond ETF,VCSH,12/01/2022,12/06/2022,12/02/2022,0.15,1.626,01/07/2022
Vanguard Short-Term Treasury ETF,VGSH,12/01/2022,12/06/2022,12/02/2022,0.098,0.754,01/07/2022
Vanguard Total Bond Market ETF,BND,12/01/2022,12/06/2022,12/02/2022,0.165,1.966,01/07/2022
Vanguard Total Corporate Bond ETF,VTC,12/01/2022,12/06/2022,12/02/2022,0.213,2.284,01/07/2022
Vanguard Total International Bond ETF,BNDX,12/01/2022,12/06/2022,12/02/2022,0.06,1.754,01/07/2022
Vanguard Total World Bond ETF,BNDW,12/01/2022,12/06/2022,12/02/2022,0.122,2.091,01/07/2022
Western Asset Short Duration Income ETF,WINC,12/01/2022,12/06/2022,12/02/2022,0.061,0.571,12/15/2021
"Waste Management, Inc.",WM,12/01/2022,12/16/2022,12/02/2022,0.65,2.6,11/08/2022
Westwood Holdings Group Inc,WHG,12/01/2022,01/03/2023,12/02/2022,0.15,0.6,10/26/2022
Weyerhaeuser Company,WY,12/01/2022,12/16/2022,12/02/2022,0.18,0.72,11/11/2022
Whitestone REIT,WSR,12/01/2022,12/14/2022,12/02/2022,0.04,0.48,07/27/2022
"Analog Devices, Inc.",ADI,12/02/2022,12/15/2022,12/05/2022,0.76,3.04,11/22/2022
Banco Bradesco Sa,BBDO,12/02/2022,01/09/2023,12/05/2022,0.002,0.029,10/26/2022
Banco Bradesco Sa,BBD,12/02/2022,01/09/2023,12/05/2022,0.003,0.032,10/26/2022
Capital City Bank Group,CCBG,12/02/2022,12/19/2022,12/05/2022,0.17,0.68,11/17/2022
"Cass Information Systems, Inc",CASS,12/02/2022,12/15/2022,12/05/2022,0.29,1.16,10/18/2022
"Donaldson Company, Inc.",DCI,12/02/2022,12/20/2022,12/05/2022,0.23,0.92,11/18/2022
"Ebix, Inc.",EBIX,12/02/2022,12/16/2022,12/05/2022,0.075,0.3,11/23/2022
"Elevance Health, Inc.",ELV,12/02/2022,12/21/2022,12/05/2022,1.28,5.12,10/18/2022
"Escalade, Incorporated",ESCA,12/02/2022,12/12/2022,12/05/2022,0.15,0.6,10/27/2022
F.N.B. Corporation,FNB,12/02/2022,12/15/2022,12/05/2022,0.12,0.48,10/17/2022
Formula Systems (1985) Ltd.,FORTY,12/02/2022,12/30/2022,12/05/2022,0.452,0.905,11/17/2022
Hancock Whitney Corporation,HWC,12/02/2022,12/15/2022,12/05/2022,0.27,1.08,10/27/2022
"Haynes International, Inc.",HAYN,12/02/2022,12/19/2022,12/05/2022,0.22,0.88,11/17/2022
"Information Services Group, Inc.",III,12/02/2022,12/19/2022,12/05/2022,0.04,0.16,11/03/2022
"Knight Transportation, Inc.",KNX,12/02/2022,12/27/2022,12/05/2022,0.12,0.48,11/03/2022
Lancaster Colony Corporation,LANC,12/02/2022,12/30/2022,12/05/2022,0.85,3.4,11/09/2022
"Miller Industries, Inc.",MLR,12/02/2022,12/12/2022,12/05/2022,0.18,0.72,11/09/2022
"Myers Industries, Inc.",MYE,12/02/2022,01/04/2023,12/05/2022,0.135,0.54,10/20/2022
"Nike, Inc.",NKE,12/02/2022,12/28/2022,12/05/2022,0.34,1.36,11/15/2022
Old Republic International Corporation,ORI,12/02/2022,12/15/2022,12/05/2022,0.23,0.92,11/23/2022
"Red River Bancshares, Inc.",RRBI,12/02/2022,12/15/2022,12/05/2022,0.07,0.28,11/17/2022
UnitedHealth Group Incorporated,UNH,12/02/2022,12/13/2022,12/05/2022,1.65,6.6,11/04/2022
"Universal Logistics Holdings, Inc.",ULH,12/02/2022,01/03/2023,12/05/2022,0.105,0.42,10/27/2022
Alamos Gold Inc.,AGI,12/05/2022,12/20/2022,12/06/2022,0.025,0.1,11/22/2022
"Amkor Technology, Inc.",AMKR,12/05/2022,12/27/2022,12/06/2022,0.075,0.3,11/15/2022
"H&R Block, Inc.",HRB,12/05/2022,01/03/2023,12/06/2022,0.29,1.16,11/03/2022
Cigna Corporation,CI,12/05/2022,12/21/2022,12/06/2022,1.12,4.48,10/26/2022
Employers Holdings Inc,EIG,12/05/2022,12/20/2022,12/06/2022,1.25,1.04,11/22/2022
"G. Willi-Food International,  Ltd.",WILC,12/05/2022,12/14/2022,12/06/2022,0.32,1.19,11/24/2022
Global X MSCI SuperDividend EAFE ETF,EFAS,12/05/2022,12/13/2022,12/06/2022,0.082,0.969,12/02/2022
Global X Alternative Income ETF,ALTY,12/05/2022,12/13/2022,12/06/2022,0.067,0.883,12/02/2022
Global X SuperDividend REIT ETF,SRET,12/05/2022,12/13/2022,12/06/2022,0.15,1.65,12/02/2022
"Insperity, Inc.",NSP,12/05/2022,12/20/2022,12/06/2022,0.52,2.08,11/18/2022
Liberty Energy Inc.,LBRT,12/05/2022,12/20/2022,12/06/2022,0.05,0.2,10/18/2022
"Monro, Inc. ",MNRO,12/05/2022,12/20/2022,12/06/2022,0.28,1.12,11/22/2022
Nordic American Tankers Limited,NAT,12/05/2022,12/20/2022,12/06/2022,0.05,0.2,11/10/2022
"Penns Woods Bancorp, Inc.",PWOD,12/05/2022,12/20/2022,12/06/2022,0.32,1.28,11/22/2022
"Ross Stores, Inc.",ROST,12/05/2022,12/30/2022,12/06/2022,0.31,1.24,11/16/2022
"Solaris Oilfield Infrastructure, Inc.",SOI,12/05/2022,12/16/2022,12/06/2022,0.105,0.42,11/17/2022
Ameren Corporation,AEE,12/06/2022,12/30/2022,12/07/2022,0.59,2.36,10/14/2022
"AMTEK, Inc.",AME,12/06/2022,12/23/2022,12/07/2022,0.22,0.88,11/04/2022
Avery Dennison Corporation,AVY,12/06/2022,12/21/2022,12/07/2022,0.75,3.0,10/28/2022
"Avnet, Inc.",AVT,12/06/2022,12/21/2022,12/07/2022,0.29,1.16,11/17/2022
"Barings BDC, Inc.",BBDC,12/06/2022,12/14/2022,12/07/2022,0.24,0.96,11/10/2022
"BlackRock, Inc.",BLK,12/06/2022,12/23/2022,12/07/2022,4.88,19.52,11/10/2022
Ethan Allen Interiors Inc.,ETD,12/06/2022,01/04/2023,12/07/2022,0.32,1.28,11/09/2022
"Greenhill & Co., Inc.",GHL,12/06/2022,12/21/2022,12/07/2022,0.1,0.4,11/02/2022
"Guess?, Inc.",GES,12/06/2022,12/23/2022,12/07/2022,0.225,0.9,11/22/2022
Jack In The Box Inc.,JACK,12/06/2022,12/22/2022,12/07/2022,0.44,1.76,11/18/2022
Kohl's Corporation,KSS,12/06/2022,12/21/2022,12/07/2022,0.5,2.0,11/09/2022
Lear Corporation,LEA,12/06/2022,12/27/2022,12/07/2022,0.77,3.08,11/15/2022
New Fortress Energy Inc.,NFE,12/06/2022,12/20/2022,12/07/2022,0.1,0.4,11/08/2022
"Old Dominion Freight Line, Inc.",ODFL,12/06/2022,12/21/2022,12/07/2022,0.3,1.2,10/20/2022
Old Point Financial Corporation,OPOF,12/06/2022,12/30/2022,12/07/2022,0.13,0.52,11/17/2022
PJT Partners Inc.,PJT,12/06/2022,12/21/2022,12/07/2022,0.25,1.0,10/25/2022
"Popular, Inc.",BPOP,12/06/2022,01/03/2023,12/07/2022,0.55,2.2,11/16/2022
Schlumberger N.V.,SLB,12/06/2022,01/12/2023,12/07/2022,0.175,0.7,10/20/2022
"Texas Roadhouse, Inc.",TXRH,12/06/2022,12/23/2022,12/07/2022,0.46,1.84,11/10/2022
Unifirst Corporation,UNF,12/06/2022,01/04/2023,12/07/2022,0.31,1.24,10/25/2022
"American Assets Trust, Inc.",AAT,12/07/2022,12/22/2022,12/08/2022,0.32,1.28,10/25/2022
Canadian National Railway Company,CNI,12/07/2022,12/29/2022,12/08/2022,0.539,2.157,10/25/2022
First American Corporation (The),FAF,12/07/2022,12/15/2022,12/08/2022,0.52,2.08,11/15/2022
Franco-Nevada Corporation,FNV,12/07/2022,12/22/2022,12/08/2022,0.32,1.28,11/06/2022
Halliburton Company,HAL,12/07/2022,12/21/2022,12/08/2022,0.12,0.48,11/18/2022
"Hibbett, Inc.",HIBB,12/07/2022,12/20/2022,12/08/2022,0.25,1.0,11/22/2022
"International Seaways, Inc.",INSW,12/07/2022,12/22/2022,12/08/2022,1.12,0.48,11/07/2022
"MDU Resources Group, Inc.",MDU,12/07/2022,01/01/2023,12/08/2022,0.222,0.89,11/17/2022
"Medical Properties Trust, Inc.",MPW,12/07/2022,01/12/2023,12/08/2022,0.29,1.16,11/10/2022
"Pathward Financial, Inc.",CASH,12/07/2022,01/02/2023,12/08/2022,0.05,0.2,11/16/2022
Newmont Corporation,NEM,12/07/2022,12/29/2022,12/08/2022,0.55,2.2,10/27/2022
Regions Financial Corporation,RF,12/07/2022,01/03/2023,12/08/2022,0.2,0.8,10/19/2022
Texas Pacific Land Corporation,TPL,12/07/2022,12/15/2022,12/08/2022,3.0,12.0,11/01/2022
Triton International Limited,TRTN,12/07/2022,12/22/2022,12/08/2022,0.7,2.8,11/01/2022
WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,AGZD,12/07/2022,12/12/2022,12/08/2022,2.61,3.608,06/12/2022
"Auburn National Bancorporation, Inc.",AUBN,12/08/2022,12/27/2022,12/09/2022,0.265,1.06,11/08/2022
"Automatic Data Processing, Inc.",ADP,12/08/2022,01/01/2023,12/09/2022,1.25,5.0,11/09/2022
"Becton, Dickinson and Company",BDX,12/08/2022,12/30/2022,12/09/2022,0.91,3.64,11/10/2022
"CNO Financial Group, Inc.",CNO,12/08/2022,12/23/2022,12/09/2022,0.14,0.56,11/09/2022
"Compass Minerals International, Inc.",CMP,12/08/2022,12/20/2022,12/09/2022,0.15,0.6,11/15/2022
CTS Corporation,CTS,12/08/2022,01/13/2023,12/09/2022,0.04,0.16,11/10/2022
Dick's Sporting Goods Inc,DKS,12/08/2022,12/30/2022,12/09/2022,0.488,1.95,11/22/2022
Euroseas Ltd.,ESEA,12/08/2022,12/16/2022,12/09/2022,0.5,2.0,11/14/2022
"Exponent, Inc.",EXPO,12/08/2022,12/23/2022,12/09/2022,0.24,0.96,10/27/2022
Farmers National Banc Corp.,FMNB,12/08/2022,12/30/2022,12/09/2022,0.17,0.68,11/22/2022
"Fidelity National Information Services, Inc.",FIS,12/08/2022,12/23/2022,12/09/2022,0.47,1.88,10/20/2022
"First US Bancshares, Inc.",FUSB,12/08/2022,01/03/2023,12/09/2022,0.05,0.2,11/16/2022
Flushing Financial Corporation,FFIC,12/08/2022,12/23/2022,12/09/2022,0.22,0.88,11/22/2022
"Gabelli Equity Trust, Inc. (The)",GAB,12/08/2022,12/16/2022,12/09/2022,0.15,0.6,11/11/2022
Gabelli Global Small and Mid Cap Value Trust (The),GGZ,12/08/2022,12/16/2022,12/09/2022,0.16,0.64,11/11/2022
The Gabelli Healthcare & Wellness Trust,GRX,12/08/2022,12/16/2022,12/09/2022,0.15,0.6,11/11/2022
Gabelli Utility Trust (The),GUT,12/08/2022,12/16/2022,12/09/2022,0.05,0.65,08/18/2022
"GAMCO Natural Resources, Gold & Income Tust ",GNT,12/08/2022,12/16/2022,12/09/2022,0.03,0.39,08/18/2022
"Gaming and Leisure Properties, Inc.",GLPI,12/08/2022,12/23/2022,12/09/2022,0.705,2.82,11/23/2022
The GDL Fund,GDL,12/08/2022,12/16/2022,12/09/2022,0.12,0.48,11/11/2022
Genpact Limited,G,12/08/2022,12/23/2022,12/09/2022,0.125,0.5,10/13/2022
"Golub Capital BDC, Inc.",GBDC,12/08/2022,12/29/2022,12/09/2022,0.33,1.32,11/18/2022
"Harley-Davidson, Inc.",HOG,12/08/2022,12/23/2022,12/09/2022,0.157,0.63,11/18/2022
"Heartland Express, Inc.",HTLD,12/08/2022,12/19/2022,12/09/2022,0.02,0.08,11/25/2022
"ICF International, Inc.",ICFI,12/08/2022,01/12/2023,12/09/2022,0.14,0.56,11/03/2022
"Kforce, Inc.",KFRC,12/08/2022,12/23/2022,12/09/2022,0.3,1.2,10/31/2022
Kimberly-Clark Corporation,KMB,12/08/2022,01/04/2023,12/09/2022,1.16,4.64,11/17/2022
Kimco Realty Corporation,KIM,12/08/2022,12/23/2022,12/09/2022,0.23,0.92,10/27/2022
KKR Income Opportunities Fund,KIO,12/08/2022,12/30/2022,12/09/2022,0.105,1.365,10/24/2022
"Kontoor Brands, Inc.",KTB,12/08/2022,12/19/2022,12/09/2022,0.48,1.92,10/24/2022
MGM Resorts International,MGM,12/08/2022,12/15/2022,12/09/2022,0.002,0.01,11/02/2022
Northern Trust Corporation,NTRS,12/08/2022,01/01/2023,12/09/2022,0.75,3.0,10/18/2022
NOV Inc.,NOV,12/08/2022,12/23/2022,12/09/2022,0.05,0.2,11/17/2022
PPL Corporation,PPL,12/08/2022,01/03/2023,12/09/2022,0.225,0.9,11/18/2022
Public Service Enterprise Group Incorporated,PEG,12/08/2022,12/30/2022,12/09/2022,0.54,2.16,11/14/2022
"Rogers Communication, Inc.",RCI,12/08/2022,01/03/2023,12/09/2022,0.373,1.491,11/08/2022
"Schneider National, Inc.",SNDR,12/08/2022,01/10/2023,12/09/2022,0.08,0.32,10/20/2022
Silvercrest Asset Management Group Inc.,SAMG,12/08/2022,12/16/2022,12/09/2022,0.18,0.72,11/03/2022
"Simon Property Group, Inc.",SPG,12/08/2022,12/30/2022,12/09/2022,1.8,7.2,11/01/2022
SITE Centers Corp.,SITC,12/08/2022,01/06/2023,12/09/2022,0.13,0.52,11/01/2022
Sociedad Quimica y Minera S.A.,SQM,12/08/2022,12/27/2022,12/09/2022,1.934,7.734,11/23/2022
SpartanNash Company,SPTN,12/08/2022,12/30/2022,12/09/2022,0.21,0.84,11/16/2022
"Tapestry, Inc.",TPR,12/08/2022,12/27/2022,12/09/2022,0.3,1.2,11/17/2022
TEGNA Inc.,TGNA,12/08/2022,01/03/2023,12/09/2022,0.095,0.38,N/A
TELUS Corporation,TU,12/08/2022,01/03/2023,12/09/2022,0.262,1.047,11/04/2022
Textron Inc.,TXT,12/08/2022,01/01/2023,12/09/2022,0.02,0.08,10/26/2022
"The Travelers Companies, Inc.",TRV,12/08/2022,12/30/2022,12/09/2022,0.93,3.72,10/19/2022
TriCo Bancshares,TCBK,12/08/2022,12/23/2022,12/09/2022,0.3,1.2,11/21/2022
UNIVERSAL INSURANCE HOLDINGS INC,UVE,12/08/2022,12/16/2022,12/09/2022,0.29,0.64,11/14/2022
"United Bancorp, Inc.",UBCP,12/08/2022,12/20/2022,12/09/2022,0.16,0.64,11/17/2022
"United Bankshares, Inc.",UBSI,12/08/2022,01/03/2023,12/09/2022,0.36,1.44,11/18/2022
UWM Holdings Corporation,UWMC,12/08/2022,01/10/2023,12/09/2022,0.1,0.4,11/02/2022
Vector Group Ltd.,VGR,12/08/2022,12/20/2022,12/09/2022,0.2,0.8,11/28/2022
"Victory Capital Holdings, Inc.",VCTR,12/08/2022,12/23/2022,12/09/2022,0.25,1.0,11/03/2022
Walmart Inc.,WMT,12/08/2022,01/03/2023,12/09/2022,0.56,2.24,02/17/2022
"WesBanco, Inc.",WSBC,12/08/2022,01/03/2023,12/09/2022,0.35,1.4,11/16/2022
"Williams Companies, Inc. (The)",WMB,12/08/2022,12/26/2022,12/09/2022,0.425,1.7,10/25/2022
"360 DigiTech, Inc.",QFIN,12/09/2022,01/18/2023,12/12/2022,0.15,0.6,N/A
"Alpine Income Property Trust, Inc.",PINE,12/09/2022,12/30/2022,12/12/2022,0.275,1.1,11/22/2022
Itau Unibanco Banco Holding SA,ITUB,12/09/2022,N/A,12/12/2022,0.069,0.151,11/29/2022
"CBL & Associates Properties, Inc.",CBL,12/09/2022,01/18/2023,12/12/2022,2.2,1.0,N/A
"Columbia Seligman Premium Technology Growth Fund, Inc",STK,12/09/2022,01/17/2023,12/12/2022,1.082,1.85,12/02/2022
"CTO Realty Growth, Inc.",CTO,12/09/2022,12/30/2022,12/12/2022,0.38,1.52,11/22/2022
Devon Energy Corporation,DVN,12/09/2022,12/30/2022,12/12/2022,1.35,0.72,11/01/2022
Douglas Elliman Inc.,DOUG,12/09/2022,12/22/2022,12/12/2022,0.05,0.2,11/30/2022
Eagle Point Income Company Inc.,EIC,12/09/2022,12/30/2022,12/12/2022,0.14,1.65,08/11/2022
Eltek Ltd.,ELTK,12/09/2022,12/19/2022,12/12/2022,0.17,0.17,11/23/2022
FedEx Corporation,FDX,12/09/2022,01/03/2023,12/12/2022,1.15,4.6,11/18/2022
Herc Holdings Inc.,HRI,12/09/2022,12/27/2022,12/12/2022,0.575,2.3,12/02/2022
"James River Group Holdings, Ltd.",JRVR,12/09/2022,12/30/2022,12/12/2022,0.05,0.2,11/01/2022
John Hancock Tax Advantaged Dividend Income Fund,HTD,12/09/2022,12/30/2022,12/12/2022,0.165,1.683,12/01/2022
John Hancock Tax-Advantaged Global Shareholder Yield Fund,HTY,12/09/2022,12/30/2022,12/12/2022,0.16,0.64,12/01/2022
John Hancock Hedged Equity & Income Fund,HEQ,12/09/2022,12/30/2022,12/12/2022,0.29,1.16,12/01/2022
John Hancock Preferred Income Fund III,HPS,12/09/2022,12/30/2022,12/12/2022,0.11,1.32,12/01/2022
John Hancock Financial Opportunities Fund,BTO,12/09/2022,12/30/2022,12/12/2022,0.65,2.5,12/01/2022
John Hancock Income Securities Trust,JHS,12/09/2022,12/30/2022,12/12/2022,0.138,0.606,12/01/2022
John Hancock Investors Trust,JHI,12/09/2022,12/30/2022,12/12/2022,0.259,1.185,12/01/2022
John Hancock Pfd Income Fund II,HPF,12/09/2022,12/30/2022,12/12/2022,0.123,1.482,12/01/2022
La-Z-Boy Incorporated,LZB,12/09/2022,12/20/2022,12/12/2022,0.182,0.726,11/30/2022
Lazard Global Total Return and Income Fund,LGI,12/09/2022,12/22/2022,12/12/2022,0.125,2.089,11/22/2022
Occidental Petroleum Corporation,OXY,12/09/2022,01/17/2023,12/12/2022,0.13,0.52,11/02/2022
PIMCO Energy and Tactical Credit Opportunities Fund,NRGX,12/09/2022,01/03/2023,12/12/2022,0.22,0.88,12/01/2022
Pimco Global Stocksplus & Income Fund,PGP,12/09/2022,01/03/2023,12/12/2022,0.069,0.828,12/01/2022
PIMCO Income Strategy Fund II,PFN,12/09/2022,01/03/2023,12/12/2022,0.072,0.862,12/01/2022
Pimco Municipal Income Fund II,PML,12/09/2022,01/03/2023,12/12/2022,0.059,0.708,12/01/2022
PIMCO Municipal Income Fund III,PMX,12/09/2022,01/03/2023,12/12/2022,0.046,0.552,12/01/2022
PIMCO Municipal Income Fund,PMF,12/09/2022,01/03/2023,12/12/2022,0.054,0.648,12/01/2022
Pimco New York Municipal Income Fund II,PNI,12/09/2022,01/03/2023,12/12/2022,0.04,0.481,12/01/2022
PIMCO New York Municipal Income Fund,PNF,12/09/2022,01/03/2023,12/12/2022,0.042,0.504,12/01/2022
PIMCO New York Municipal Income Fund III,PYN,12/09/2022,01/03/2023,12/12/2022,0.035,0.426,12/01/2022
Pimco California Municipal Income Fund II,PCK,12/09/2022,01/03/2023,12/12/2022,0.032,0.384,12/01/2022
